game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
007 first light,0,7200000,3600000,0,0
a plague tale bundle,0,2600000,1300000,0,0
a plague tale requiem,0,0,1250000,0,0
a quiet place the road ahead,0,0,550000,0,0
ace combat 7 skies unknown,0,0,450000,0,0
ace combat 8 wings of theve,0,7200000,3600000,0,0
alan wake 2 deluxe edition,0,2200000,1100000,0,0
alan wake remastered,0,450000,250000,0,0
alien rogue incursion,0,4100000,2050000,0,0
among us,0,0,250000,0,0
among us vr,0,1100000,0,0,0
arc raiders,0,0,1550000,0,0
arcade game series pac-man,0,0,250000,0,0
ark survival ascended,0,0,650000,0,0
ark survival evolved,0,0,250000,0,0
arma reforger,0,4100000,2050000,0,0
assassin’s creed black flag resynced,0,6200000,0,0,0
assassin’s creed black flag resynced deluxe edition,0,7200000,0,0,0
assassin’s creed iv black flag,0,0,450000,0,0
assassin’s creed origins gold edition,0,0,200000,0,0
assassin’s creed rogue remastered,0,0,450000,0,0
assassin’s creed shadows,0,0,1800000,0,0
assassin’s creed shadows digital deluxe edition,0,0,4600000,0,0
assassin’s creed syndicate gold edition,0,0,700000,0,0
assassin’s creed valhalla,0,900000,450000,0,0
assassin’s creed valhalla complete edition,0,0,700000,0,0
astro bot,0,0,2050000,0,0
avatar frontiers of pandora,0,0,1550000,0,0
back 4 blood,0,0,450000,0,0
baldur’s gate 3,0,0,3600000,0,0
batman arkham collection,0,0,450000,0,0
batman arkham knight,0,0,200000,0,0
battlefield 1,0,500000,0,0,0
battlefield 2042,0,0,700000,0,0
battlefield 4,0,0,200000,0,0
battlefield 6,0,7200000,0,0,0
battlefield v,0,0,450000,0,0
battlefield v definitive edition,0,0,200000,0,0
beat saber vr,0,2700000,1350000,0,0
black myth wukong,0,6200000,3100000,0,0
bloodborne,0,550000,250000,0,0
borderlands 3,0,800000,400000,0,0
borderlands 4,0,4300000,0,0,0
borderlands legendary collection,0,900000,450000,0,0
brokenlore unfollow,0,2100000,0,0,0
bully,0,0,450000,0,0
bus simulator 27,0,3600000,1800000,0,0
call of duty black ops 6,0,0,1300000,0,0
call of duty black ops 7,0,3200000,1600000,0,0
call of duty modern warfare,0,1400000,700000,0,0
call of duty modern warfare 2 campaign remastered,0,0,250000,0,0
call of duty modern warfare 4,0,7200000,3600000,0,0
call of duty modern warfare 4 vault edition,0,10300000,5150000,0,0
call of duty modern warfare iii,0,0,1300000,0,0
call of duty modern warfare remastered,0,700000,350000,0,0
call of duty vanguard,0,0,1100000,0,0
call of duty wwii,0,0,550000,0,0
captain tsubasa 2 world fighters,0,6200000,3100000,0,0
cars 3 driven to win,0,0,125000,0,0
chivalry 2,0,0,450000,0,0
clair obscur expedition 33,0,0,1400000,0,0
control resonant,0,6200000,3100000,0,0
control ultimate edition,0,0,300000,0,0
crash bandicoot 4 it’s about time,0,0,900000,0,0
crash bandicoot bundle n sane trilogy + ctr nitro fueled,0,1400000,700000,0,0
crash bandicoot crashiversary bundle,0,0,500000,0,0
crash bandicoot n. sane trilogy,0,0,400000,0,0
crash team racing nitro-fueled + spyro game bundle,0,1200000,650000,0,0
crash team rumble,0,0,900000,0,0
crimson desert,0,7200000,0,0,0
cult of the lamb,0,1200000,0,0,0
cuphead,0,0,250000,0,0
cuphead and the delicious last course,0,1800000,900000,0,0
cyberpunk 2077,0,0,1050000,0,0
dark souls iii,0,0,1350000,0,0
dark souls ll scholar of the first sin,0,0,900000,0,0
dark souls remastered,0,1800000,900000,0,0
days gone remastered,0,0,1550000,0,0
dead by daylight,0,0,450000,0,0
dead island definitive edition,0,300000,150000,0,0
dead space,0,0,550000,0,0
death stranding 2 on the beach,0,6200000,3100000,0,0
death stranding director’s cut,0,2100000,1050000,0,0
deathloop,0,1300000,650000,0,0
demon slayer kimetsu no yaiba,0,0,700000,0,0
demon slayer kimetsu no yaiba 2,0,5400000,2700000,0,0
demon’s souls,0,2000000,1000000,0,0
detroit become human,0,900000,0,0,0
devil may cry 5 special edition,0,0,550000,0,0
devil may cry hd collection,0,500000,250000,0,0
diablo iv,0,0,900000,0,0
directive 8020,0,5200000,0,0,0
dispatch,0,0,1550000,0,0
dmc devil may cry definitive edition,0,900000,450000,0,0
doom 64,0,200000,100000,0,0
doom eternal,0,800000,400000,0,0
doom the dark ages,0,0,1250000,0,0
doom the dark ages premium edition,0,0,1700000,0,0
dragon age the veilguard,0,7200000,3600000,0,0
dragon’s dogma 2,0,0,2050000,0,0
dying light definitive edition,0,800000,400000,0,0
dying light the beast,0,5000000,2500000,0,0
dynasty warriors origins,0,7200000,3600000,0,0
ea sports fc 26,0,2200000,0,0,0
ea sports fc 26 ultimate,0,0,3600000,0,0
ea star wars triple bundle,0,1000000,500000,0,0
elden ring nightreign,0,0,1350000,0,0
elden ring shadow of the erdtree edition,0,0,3600000,0,0
enotria the last song,0,2100000,1050000,0,0
escape the backrooms,0,1400000,700000,0,0
fable,0,7200000,3600000,0,0
fall guys,0,0,450000,0,0
fallout 4,0,0,450000,0,0
far cry 6,0,0,700000,0,0
fatal fury city of the wolves special edition,0,0,700000,0,0
final fantasy resonance,0,5200000,2600000,0,0
final fantasy vii rebirth,0,0,1050000,0,0
final fantasy xiv dawntrail,0,3600000,1800000,0,0
final fantasy xvi,0,0,1300000,0,0
five nights at freddy’s into the pit,0,0,900000,0,0
five nights at freddy’s secret of the mimic,0,4100000,2050000,0,0
for honor,0,0,250000,0,0
forspoken,0,1100000,550000,0,0
gang beasts,0,1800000,900000,0,0
gears of war reloaded,0,0,2050000,0,0
ghost of tsushima director’s cut,0,0,700000,0,0
ghost of yōtei,0,7200000,3600000,0,0
goat simulator,0,650000,325000,0,0
god of war,0,900000,450000,0,0
god of war iii remastered,0,0,450000,0,0
gotham knights,0,0,1050000,0,0
grand theft auto the trilogy the definitive edition,0,0,500000,0,0
green hell vr,0,2100000,0,0,0
hades,0,900000,450000,0,0
hades ii,0,3100000,1550000,0,0
halo campaign evolved,0,5200000,2600000,0,0
hell is us,0,0,3100000,0,0
hell let loose,0,5200000,0,0,0
hell let loose vietnam,0,4100000,2050000,0,0
helldivers 2,0,4100000,2050000,0,0
hello neighbor,0,2700000,1350000,0,0
hello neighbor 2,0,0,900000,0,0
high on life 2,0,6200000,3100000,0,0
hitman world of assassination (hitman 1 & 2 & 3),0,2600000,1300000,0,0
hogwarts legacy + harry potter quidditch champions deluxe editions bundle,0,0,1150000,0,0
hollow knight silksong,0,1800000,900000,0,0
hollow knight voidheart edition,0,1400000,700000,0,0
horizon call of the mountain vr,0,0,3100000,0,0
horizon zero dawn remastered,0,3100000,1550000,0,0
hunt showdown 1896,0,0,650000,0,0
indiana jones and the great circle,0,0,3600000,0,0
invincible vs,0,5200000,0,0,0
it takes two,0,0,450000,0,0
just dance 2020,0,0,170000,0,0
just dance 2021,0,0,180000,0,0
kingdom come deliverance,0,0,300000,0,0
kingdom come deliverance ii,0,0,1300000,0,0
l.a. noire,0,1000000,0,0,0
lego batman legacy of the dark knight,0,7200000,0,0,0
lego batman legacy of the dark knight deluxe edition,0,9200000,4600000,0,0
lego horizon adventures,0,4100000,2050000,0,0
lego star wars the skywalker saga,0,0,1350000,0,0
lies of p overture,0,5300000,0,0,0
life is strange double exposure,0,2600000,1300000,0,0
life is strange reunion,0,4100000,0,0,0
little nightmares,0,0,190000,0,0
little nightmares iii,0,2600000,1300000,0,0
lords of the fallen 2014,0,1800000,900000,0,0
lords of the fallen 2023,0,0,1550000,0,0
lost soul aside,0,0,3100000,0,0
mad max,0,450000,250000,0,0
mafia definitive edition,0,390000,250000,0,0
mafia the old country,0,3600000,1800000,0,0
mafia trilogy,0,700000,350000,0,0
marvel’s spider-man miles morales,0,1300000,650000,0,0
marvel’s spider-man remastered,0,1600000,800000,0,0
marvel’s wolverine,0,7200000,0,0,0
marvel’s wolverine digital deluxe edition,0,8200000,0,0,0
metal gear solid master collection,0,5400000,2700000,0,0
metal gear solid master collection vol.2,0,5200000,0,0,0
metal gear solid δ snake eater,0,7200000,3600000,0,0
metal slug anthology,0,1800000,0,0,0
metal slug attack reloaded,0,900000,450000,0,0
metal slug xx,0,0,900000,0,0
middle-earth shadow of war,0,0,300000,0,0
mindseye,0,3600000,0,0,0
minecraft dungeons ii,0,3100000,1550000,0,0
minecraft legends,0,0,1800000,0,0
mixtape,0,2100000,1050000,0,0
monster hunter wilds,0,0,3600000,0,0
mortal kombat 1,0,0,550000,0,0
mortal kombat 1 definitive edition,0,0,1100000,0,0
mortal kombat 1 khaos reigns kollection,0,0,800000,0,0
mortal kombat 11 ultimate,0,0,300000,0,0
mortal kombat 11 ultimate + injustice 2 leg edition bundle,0,0,450000,0,0
mortal kombat legacy kollection,0,3000000,1500000,0,0
mortal shell enhanced edition,0,950000,0,0,0
mouse pi for hire,0,3100000,1550000,0,0
nba 2k23,0,500000,350000,0,0
nba 2k24,0,800000,550000,0,0
nba 2k25,0,0,350000,0,0
nba 2k26,0,2000000,1000000,0,0
need for speed payback,0,0,300000,0,0
need for speed unbound,0,0,300000,0,0
need for speed unbound palace edition,0,1000000,500000,0,0
neighbours back from hell,0,0,250000,0,0
new world aeternum,0,0,1200000,0,0
nickelodeon extreme tennis next,0,3100000,1550000,0,0
nier automata,0,0,750000,0,0
ninja gaiden 2 black,0,0,1550000,0,0
ninja gaiden 4,0,4300000,2150000,0,0
nioh 3,0,7200000,3600000,0,0
onimusha way of the sword,0,7200000,3600000,0,0
outlast bundle of terror,0,900000,0,0,0
overcooked,0,800000,400000,0,0
pacific drive,0,0,1550000,0,0
persona 3 reload digital deluxe edition,0,0,1150000,0,0
phasmophobia,0,2100000,1050000,0,0
plants vs zombies garden warfare 2,0,0,300000,0,0
plants vs zombies replanted,0,1800000,900000,0,0
pragmata,0,6200000,3100000,0,0
raccoon city edition,0,1000000,500000,0,0
ratchet & clank rift apart,0,0,750000,0,0
rayman legends retold,0,4100000,2050000,0,0
rayman legends retold deluxe edition,0,5200000,2600000,0,0
ready or not,0,5200000,2600000,0,0
reanimal,0,3300000,0,0,0
red dead redemption,0,0,1150000,0,0
resident evil 2 1998,0,900000,450000,0,0
resident evil 3 nemesis 1999,0,900000,450000,0,0
resident evil 4 (2005),0,1000000,500000,0,0
resident evil 4 gold edition,0,0,650000,0,0
resident evil 7 biohazard gold edition,0,900000,450000,0,0
resident evil 7 gold edition + village gold edition bundle,0,1800000,900000,0,0
resident evil code veronica x,0,1400000,700000,0,0
resident evil requiem,0,7200000,0,0,0
resident evil requiem deluxe edition,0,8200000,0,0,0
resident evil village gold edition,0,0,400000,0,0
residnet evil 2,0,0,400000,0,0
residnet evil village,0,900000,450000,0,0
resonance a plague tale legacy,0,6200000,3100000,0,0
ride 6,0,6200000,0,0,0
rise of the ronin,0,3100000,1550000,0,0
robocop rogue city,0,2100000,1050000,0,0
s.t.a.l.k.e.r. 2 heart of chornobyl,0,0,3100000,0,0
saros,0,7200000,0,0,0
screamer,0,6200000,3100000,0,0
sekiro shadows die twice,0,1400000,700000,0,0
sid meier’s civilization vii,0,0,1900000,0,0
silent hill 2,0,3600000,1800000,0,0
silent hill 2 deluxe edition,0,4100000,2050000,0,0
silent hill f,0,4300000,2150000,0,0
silent hill townfall,0,5200000,2600000,0,0
sniper elite resistance,0,3000000,1500000,0,0
sonic racing crossworlds,0,4900000,2450000,0,0
sonic x shadow generations,0,4500000,2250000,0,0
speedrunners,0,500000,250000,0,0
split fiction,0,0,1800000,0,0
spongebob squarepants the cosmic shake,0,0,900000,0,0
spongebob squarepants titans of the tide,0,4100000,0,0,0
star wars battlefront ii,0,0,150000,0,0
star wars battlefront ultimate edition,0,600000,300000,0,0
star wars galactic racer,0,6200000,3100000,0,0
star wars jedi fallen order,0,0,450000,0,0
star wars jedi survivor,0,0,600000,0,0
star wars tales from the galaxy’s edge vr,0,4100000,2050000,0,0
starfield,0,5200000,0,0,0
stellar blade,0,0,2600000,0,0
stellar blade complete edition,0,0,2600000,0,0
still wakes the deep,0,3600000,1800000,0,0
stray,0,0,700000,0,0
street fighter 6,0,0,900000,0,0
suicide squad kill the justice league,0,600000,300000,0,0
swordsman vr,0,2100000,1050000,0,0
teenage mutant ninja turtles mutants unleashed,0,0,550000,0,0
tekken 7,0,0,450000,0,0
tekken 8,0,0,1250000,0,0
tekken 8 deluxe edition,0,0,2100000,0,0
the callisto protocol,0,0,1600000,0,0
the casting of frank stone,0,700000,350000,0,0
the dark pictures anthology little hope,0,0,450000,0,0
the elder scrolls iv oblivion remastered,0,4100000,2050000,0,0
the evil within 2,0,600000,300000,0,0
the first berserker khazan,0,3700000,1850000,0,0
the forest,0,1100000,550000,0,0
the last of us complete,0,7200000,3600000,0,0
the last of us part i,0,0,1550000,0,0
the outer worlds 2,0,4300000,2150000,0,0
the outlast trials deluxe edition,0,0,390000,0,0
the quarry,0,0,550000,0,0
the walking dead saints and sinners chapter 2 retribution vr,0,1300000,0,0,0
the walking dead saints and sinners vr,0,2100000,0,0,0
the walking dead the telltale definitive series,0,1800000,900000,0,0
the witcher 3 wild hunt complete edition,0,1200000,600000,0,0
thehunter call of the wild,0,0,450000,0,0
tomb raider definitive survivor trilogy,0,0,450000,0,0
tomb raider i-iii remastered,0,900000,0,0,0
tomb raider iv-vi remastered,0,1600000,800000,0,0
tomb raider legacy of atlantis,0,6200000,3100000,0,0
ufc 6,0,7200000,0,0,0
ufc 6 ultimate edition,0,10300000,0,0,0
uncharted 4 a thief’s end & uncharted the lost legacy digital bundle,0,0,750000,0,0
unravel two,0,0,400000,0,0
unravel yarny bundle,0,900000,450000,0,0
until dawn 2015,0,0,900000,0,0
until dawn remake,0,0,1550000,0,0
viewfinder,0,2300000,1150000,0,0
"warhammer 40,000 space marine 2",0,0,1800000,0,0
watch dogs 1 + watch dogs 2 gold editions bundle,0,0,500000,0,0
watch dogs legion,0,700000,350000,0,0
wo long fallen dynasty,0,0,900000,0,0
wolfenstein ii the new colossus,0,600000,0,0,0
wrc 7 fia world rally championship,0,0,250000,0,0
wuchang fallen feathers,0,5200000,2600000,0,0
wwe 2k22,0,0,400000,0,0
wwe 2k23,0,0,450000,0,0
wwe 2k26,0,4900000,0,0,0
yakuza kiwami 3 & dark ties,0,4000000,0,0,0
yakuza like a dragon,0,900000,450000,0,0
ظرفیتی alan wake 2,0,0,700000,0,0
ظرفیتی assassin’s creed mirage,0,0,400000,0,0
ظرفیتی call of duty modern warfare ii,0,0,1300000,0,0
ظرفیتی crash team racing nitro-fueled,0,1200000,600000,0,0
ظرفیتی farming simulator 25,0,0,2050000,0,0
ظرفیتی god of war ragnarök,0,2700000,1350000,0,0
ظرفیتی grand theft auto v,0,0,800000,0,0
ظرفیتی gta vi,0,9500000,0,0,0
ظرفیتی gta vi ultimate edition,0,11000000,9000000,0,0
ظرفیتی hogwarts legacy,0,0,550000,0,0
ظرفیتی minecraft,0,2000000,1000000,0,0
ظرفیتی need for speed heat,0,0,300000,0,0
ظرفیتی prince of persia the lost crown,0,0,400000,0,0
ظرفیتی red dead redemption 2,0,1700000,850000,0,0
ظرفیتی resident evil 4,0,0,450000,0,0
ظرفیتی the crew motorfest,0,0,550000,0,0
ظرفیتی wwe 2k24,0,0,500000,0,0
